pair_id,split,clean_epoch_id,artifact_epoch_id,artifact_type,target_snr_db,method,snr_db,snr_gain_db,rmse,rrmse
675,test,76,emg:76,muscle,5.0,hybrid_wavelet_dae,4.669627880017349,-0.33037211998265104,80.1037750020744,0.5841422323176705
676,test,313,emg:313,muscle,5.0,noisy_input,4.999999999999999,0.0,136.62189212758037,0.5623413251903491
676,test,313,emg:313,muscle,5.0,wavelet_only,5.242914706091044,0.24291470609104504,132.85397725791537,0.5468324326694257
676,test,313,emg:313,muscle,5.0,hybrid_wavelet_dae,4.533339408064,-0.46666059193599896,144.162838687817,0.593380171277425
677,test,296,emg:296,muscle,5.0,noisy_input,5.0,0.0,158.3978920488005,0.5623413251903492
677,test,296,emg:296,muscle,5.0,wavelet_only,4.107180313525641,-0.8928196864743594,175.54577525487872,0.6232194293215865
677,test,296,emg:296,muscle,5.0,hybrid_wavelet_dae,4.494705428187002,-0.505294571812998,167.8858625533883,0.5960253460943209
678,test,502,emg:502,muscle,5.0,noisy_input,5.0,0.0,99.32725773770663,0.5623413251903491
678,test,502,emg:502,muscle,5.0,wavelet_only,5.659926449838844,0.659926449838844,92.06024428794979,0.5211991244834325
678,test,502,emg:502,muscle,5.0,hybrid_wavelet_dae,5.719130499627707,0.719130499627707,91.43488447265943,0.5176586495396884
679,test,490,emg:490,muscle,5.0,noisy_input,5.000000000000001,0.0,125.28716100767227,0.5623413251903491
679,test,490,emg:490,muscle,5.0,wavelet_only,5.08361616212431,0.08361616212430878,124.08685006785475,0.5569538262709975
679,test,490,emg:490,muscle,5.0,hybrid_wavelet_dae,5.507203951583265,0.5072039515832643,118.18064902426075,0.5304443188722954
680,test,543,emg:543,muscle,5.0,noisy_input,5.0,0.0,146.52556202180244,0.5623413251903491
680,test,543,emg:543,muscle,5.0,wavelet_only,5.111295167022486,0.11129516702248576,144.6600588737871,0.5551818268889837
680,test,543,emg:543,muscle,5.0,hybrid_wavelet_dae,5.457725450991704,0.45772545099170436,139.00394416557234,0.5334745766552473
681,test,562,emg:562,muscle,5.0,noisy_input,5.0,0.0,114.61330396579075,0.5623413251903491
681,test,562,emg:562,muscle,5.0,wavelet_only,4.110618665660047,-0.8893813343399533,126.97087102160702,0.622972773668359
681,test,562,emg:562,muscle,5.0,hybrid_wavelet_dae,2.865681287937965,-2.134318712062035,146.53823885877586,0.7189785529217415
682,test,290,emg:290,muscle,5.0,noisy_input,5.0,0.0,170.30763873232064,0.5623413251903491
682,test,290,emg:290,muscle,5.0,wavelet_only,4.461625386373341,-0.538374613626659,181.19777408173402,0.5982996250615409
682,test,290,emg:290,muscle,5.0,hybrid_wavelet_dae,4.132993373024161,-0.8670066269758392,188.18476409830902,0.6213700713096273
683,test,212,emg:212,muscle,5.0,noisy_input,5.0,0.0,69.26674587518777,0.562341325190349
683,test,212,emg:212,muscle,5.0,wavelet_only,4.525472242809134,-0.4745277571908657,73.15620580129686,0.5939178634193006
683,test,212,emg:212,muscle,5.0,hybrid_wavelet_dae,4.819547974598198,-0.18045202540180227,70.72083608377291,0.5741463407791496
684,test,555,emg:555,muscle,5.0,noisy_input,5.0,0.0,111.16593549514893,0.562341325190349
684,test,555,emg:555,muscle,5.0,wavelet_only,4.90730335037993,-0.09269664962006985,112.35866217723644,0.5683748236717633
684,test,555,emg:555,muscle,5.0,hybrid_wavelet_dae,5.305451528681761,0.3054515286817612,107.32456839032577,0.542909478027392
685,test,579,emg:579,muscle,5.0,noisy_input,5.000000000000001,0.0,68.73995409005508,0.562341325190349
685,test,579,emg:579,muscle,5.0,wavelet_only,5.482980808955226,0.482980808955225,65.02198106749913,0.5319256825818742
685,test,579,emg:579,muscle,5.0,hybrid_wavelet_dae,4.586208178839434,-0.4137918211605669,72.09395129465587,0.5897793887981454
686,test,317,emg:317,muscle,5.0,noisy_input,5.000000000000001,0.0,131.09659940455325,0.562341325190349
686,test,317,emg:317,muscle,5.0,wavelet_only,3.9758369483052562,-1.0241630516947446,147.50256718484997,0.6327150320943116
686,test,317,emg:317,muscle,5.0,hybrid_wavelet_dae,3.927792569234914,-1.0722074307650868,148.3207107520918,0.636224474291046
687,test,57,emg:57,muscle,5.0,noisy_input,5.0,0.0,150.47658278212478,0.5623413251903491
687,test,57,emg:57,muscle,5.0,wavelet_only,4.752317239635123,-0.24768276036487702,154.82926714678104,0.5786076056208406
687,test,57,emg:57,muscle,5.0,hybrid_wavelet_dae,5.023464671631736,0.023464671631735712,150.0706233751281,0.5608242270034868
688,test,535,emg:535,muscle,5.0,noisy_input,5.0,0.0,85.12471063332778,0.5623413251903491
688,test,535,emg:535,muscle,5.0,wavelet_only,4.253294708313721,-0.7467052916862791,92.76644485813924,0.6128232935725179
688,test,535,emg:535,muscle,5.0,hybrid_wavelet_dae,5.071744100998584,0.07174410099858441,84.42448956832982,0.5577156032502972
689,test,272,emg:272,muscle,5.0,noisy_input,4.999999999999999,0.0,161.98069597798715,0.5623413251903491
689,test,272,emg:272,muscle,5.0,wavelet_only,4.096308081106623,-0.9036919188933759,179.74129095616462,0.6240000089976755
689,test,272,emg:272,muscle,5.0,hybrid_wavelet_dae,4.164470389913564,-0.8355296100864349,178.3362955676197,0.6191223477189015
690,test,15,emg:15,muscle,5.0,noisy_input,4.999999999999999,0.0,157.87417138057663,0.5623413251903491
690,test,15,emg:15,muscle,5.0,wavelet_only,5.837226918095179,0.8372269180951797,143.3671784727092,0.5106680112784014
690,test,15,emg:15,muscle,5.0,hybrid_wavelet_dae,6.018685352588566,1.0186853525885669,140.40313869392978,0.5001102231200225
691,test,432,emg:432,muscle,5.0,noisy_input,5.000000000000001,0.0,101.2214995592191,0.5623413251903491
691,test,432,emg:432,muscle,5.0,wavelet_only,5.072214964311979,0.07221496431197849,100.38342716065378,0.5576853702275503
691,test,432,emg:432,muscle,5.0,hybrid_wavelet_dae,5.929226864577806,0.9292268645778048,90.95182622555343,0.5052876188446248
692,test,503,emg:503,muscle,5.0,noisy_input,5.000000000000001,0.0,105.22705994143973,0.562341325190349
692,test,503,emg:503,muscle,5.0,wavelet_only,5.686330605757298,0.6863306057572975,97.23237770116728,0.5196171418104037
692,test,503,emg:503,muscle,5.0,hybrid_wavelet_dae,5.158996830704435,0.15899683070443427,103.31838162543741,0.552141204668307
693,test,137,emg:137,muscle,5.0,noisy_input,5.0,0.0,140.16330792024294,0.5623413251903491
693,test,137,emg:137,muscle,5.0,wavelet_only,4.036396704738381,-0.9636032952616187,156.60820191168813,0.6283189595440294
693,test,137,emg:137,muscle,5.0,hybrid_wavelet_dae,3.720346807842957,-1.2796531921570429,162.41158252674714,0.6516023765386775
694,test,287,emg:287,muscle,5.0,noisy_input,5.0,0.0,41.41102589064334,0.5623413251903492
694,test,287,emg:287,muscle,5.0,wavelet_only,4.527012170257985,-0.47298782974201536,43.72858063930975,0.5938125766393677
694,test,287,emg:287,muscle,5.0,hybrid_wavelet_dae,4.090185619430157,-0.9098143805698431,45.98399599211541,0.6244400057134677
695,test,451,emg:451,muscle,5.0,noisy_input,5.0,0.0,128.58555560699946,0.5623413251903491
695,test,451,emg:451,muscle,5.0,wavelet_only,4.700606192319377,-0.29939380768062307,133.09504154506413,0.5820625939313654
695,test,451,emg:451,muscle,5.0,hybrid_wavelet_dae,6.421586809029608,1.4215868090296082,109.17239686902103,0.477442042690759
696,test,528,emg:528,muscle,5.0,noisy_input,5.000000000000001,0.0,122.50813440582557,0.562341325190349
696,test,528,emg:528,muscle,5.0,wavelet_only,5.654589275974412,0.654589275974411,113.61494499043182,0.5215194814386944
696,test,528,emg:528,muscle,5.0,hybrid_wavelet_dae,5.324828975218299,0.32482897521829823,118.01126821896624,0.5416996453297674
697,test,300,emg:300,muscle,5.0,noisy_input,4.999999999999999,0.0,115.33409112243723,0.5623413251903492
697,test,300,emg:300,muscle,5.0,wavelet_only,4.724971112709817,-0.2750288872901825,119.04444700199542,0.5804321292356471
697,test,300,emg:300,muscle,5.0,hybrid_wavelet_dae,4.472605517490499,-0.5273944825095,122.55398054959481,0.5975437718276188
698,test,195,emg:195,muscle,5.0,noisy_input,5.000000000000001,0.0,132.61861414568062,0.562341325190349
698,test,195,emg:195,muscle,5.0,wavelet_only,5.696083511947526,0.696083511947525,122.40532452676642,0.5190340198331688
698,test,195,emg:195,muscle,5.0,hybrid_wavelet_dae,4.940438727224106,-0.059561272775894736,133.5311375892482,0.5662106888225112
699,test,34,emg:34,muscle,5.0,noisy_input,4.999999999999999,0.0,165.59761267564446,0.5623413251903491
